#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-04-08T09:52:39 [V7.4.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-04-08T09:52:39	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/A+A/682/A145/catalog&-order=I&-out=HIP&-out=HD&-out=Name&-out=GaiaDR3&-out=RA_ICRS&-out=DE_ICRS&-out=ThetaLD&-out=Indirect&-out=GBSV1&-out=GBSV2&-out=Plx&-out=o_Plx&-out=Av&-out=FbolAv0&-out=Fbol&-out=Teff&-out=Lum&-out=Rad&-out=MassB&-out=MassS&-out=logg&-out=[Fe/H]&-out=Dnu&-out=numax&-out=loggSeis&-out=RadSeis&-out=MassSeis&-out=Simbad&Simbad=Simbad&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.4.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36820145
#Name: J/A+A/682/A145
#Title: Gaia FGK benchmark stars v3 (Soubiran+, 2024)
#INFO	ivoid=ivo://cds.vizier/j/a+a/682/a145	    IVOID of underlying data collection
#INFO	creator=Soubiran C.	    First author or institution
#INFO	cites=bibcode:2024A&A...682A.145S	    Article or Data origin sources
#INFO	editor=Astronomy and Astrophysics	    Editor name (article)
#INFO	original_date=2024	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/682/A145	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36820145	    Dataset identifier that can be used for citation
#INFO	publication_date=2025-01-07	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_2000.000:	ICRS
#Table	J_A_A_682_A145_catalog:
#Name: J/A+A/682/A145/catalog
#Title: Parameters of the stars (corrected version, 04/12/2024, from erratum, 2025A&A...693C...3S)
#Column	HIP	(A9)	HIP name (HIPNNNNNN)	[ucd=meta.id;meta.main]
#Column	HD	(A8)	HD name (HDNNNNNN)	[ucd=meta.id]
#Column	Name	(a13)	Other name	[ucd=meta.id]
#Column	GaiaDR3	(I19)	? Gaia DR3 Source identifier	[ucd=meta.id]
#Column	RA_ICRS	(F8.4)	Right Ascension (ICRS) at Ep=J2000	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F8.4)	Declination (ICRS) at Ep=J2000	[ucd=pos.eq.dec;meta.main]
#Column	ThetaLD	(F6.3)	Limb darkened angular diameter	[ucd=phys.angSize]
#Column	Indirect	(I1)	[1]? 1 = indirect measurement of ThetaLD	[ucd=meta.code]
#Column	GBSV1	(I1)	[1]? 1 = GBS present in V1, Heiter et al., 2015A&A...582A..49H	[ucd=meta.code]
#Column	GBSV2	(I1)	[1]? 1 = GBS present in V2, Jofre et al., 2018RNAAS...2..152J, Cat. III/281	[ucd=meta.code]
#Column	Plx	(F6.2)	Parallax	[ucd=pos.parallax]
#Column	o_Plx	(A1)	[GHA] Origin for the parallax (1)	[ucd=meta.number]
#Column	Av	(F6.3)	Extinction in V band	[ucd=phys.absorption]
#Column	FbolAv0	(F8.3)	? Bolometric flux 0 extinction	[ucd=phot.flux.bol]
#Column	Fbol	(F8.3)	Bolometric flux	[ucd=phot.flux.bol]
#Column	Teff	(I4)	Fundamental effective temperature	[ucd=phys.temperature.effective]
#Column	Lum	(F8.3)	Luminosity	[ucd=phys.luminosity]
#Column	Rad	(F7.3)	Linear radius	[ucd=phys.size.radius]
#Column	MassB	(F6.3)	Mass from BaSTI	[ucd=phys.mass]
#Column	MassS	(F6.3)	Mass from STAREVOL	[ucd=phys.mass]
#Column	logg	(F5.2)	Logarithm of surface gravity Newton law	[ucd=phys.gravity]
#Column	[Fe/H]	(F5.2)	Metallicity from literature	[ucd=phys.abund.Z]
#Column	Dnu	(F6.2)	? Large frequency separation	[ucd=em.freq;src.var]
#Column	numax	(F6.1)	? Frequency of maximum oscillation power	[ucd=em.freq;stat.max]
#Column	loggSeis	(F5.2)	? Seismic logg	[ucd=phys.gravity]
#Column	RadSeis	(F6.3)	? Seismic radius	[ucd=phys.size.radius]
#Column	MassSeis	(F6.3)	? Seismic mass	[ucd=phys.mass]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
HIP	HD	Name	GaiaDR3	RA_ICRS	DE_ICRS	ThetaLD	Indirect	GBSV1	GBSV2	Plx	o_Plx	Av	FbolAv0	Fbol	Teff	Lum	Rad	MassB	MassS	logg	[Fe/H]	Dnu	numax	loggSeis	RadSeis	MassSeis	Simbad
HIP114622	HD219134	             	2009481748875806976	348.3207	+57.1684	 1.106	 	 	 	152.86	G	 0.000	  21.751	  21.612	4800	   0.289	  0.778	 0.777	 0.779	 4.55	 0.06	      	      	     	      	      	Simbad
HIP114855	HD219449	* psi01 Aqr  	2630155547353593216	348.9729	-09.0877	 2.220	 	 	 	 22.09	G	 0.016	  75.118	  75.458	4631	  48.334	 10.805	 1.004	 0.774	 2.32	-0.03	      	      	     	      	      	Simbad
HIP114971	HD219615	* gam Psc    	2658974606111711488	349.2914	+03.2823	 2.340	 	 	 	 24.20	G	 0.018	 111.266	 111.221	4970	  59.360	 10.396	 1.350	 0.870	 2.44	-0.53	      	      	     	      	      	Simbad
HIP115227	HD220009	*   7 Psc    	2661005953843811456	350.0858	+05.3813	 2.045	 	1	 	  9.09	G	 0.058	  43.967	  44.437	4227	 168.097	 24.188	 0.854	 1.118	 1.66	-0.66	      	      	     	      	      	Simbad
HIP115620	HD220572	             	6498723334930624512	351.3311	-56.8490	 1.092	 	 	 	 10.60	G	 0.014	  20.343	  20.322	4756	  56.532	 11.076	 1.392	 2.356	 2.61	 0.08	      	      	     	      	      	Simbad
HIP115949	HD221170	             	2869759781250083200	352.3700	+30.4327	 0.596	 	 	 	  1.84	G	 0.306	   4.304	   4.354	4380	 401.953	 34.826	 0.753	 0.704	 1.22	-2.10	      	      	     	      	      	Simbad
HIP116771	HD222368	* iot Psc    	2756363608023588864	354.9877	+05.6263	 1.082	 	 	 	 73.24	G	 0.007	  56.686	  56.438	6169	   3.289	  1.588	 1.135	 1.113	 4.09	-0.14	      	      	     	      	      	Simbad
HIP12114 	HD16160 	             	  19316224572460416	039.0204	+06.8868	 1.030	 	 	 	138.34	G	 0.000	  15.756	  15.587	4583	   0.255	  0.801	 0.771	 0.765	 4.52	-0.13	      	      	     	      	      	Simbad
HIP12486 	HD16815 	* iot Eri    	4951967794731342464	040.1668	-39.8554	 2.248	 	 	 	 22.29	G	 0.011	  83.448	  83.480	4720	  52.517	 10.843	 1.123	 0.905	 2.37	-0.36	      	      	     	      	      	Simbad
HIP12530 	HD16765A	*  84 Cet    	2498460442625153536	040.3083	-00.6957	 0.497	 	 	 	 44.87	G	 0.010	  13.059	  13.040	6310	   2.024	  1.191	 1.176	 1.188	 4.36	-0.02	      	      	     	      	      	Simbad
HIP12777 	HD16895 	* tet Per    	 438829629114680704	041.0499	+49.2284	 1.103	 	 	 	 89.68	G	 0.000	  60.566	  60.086	6206	   2.335	  1.322	 1.168	 1.161	 4.26	 0.01	      	      	     	      	      	Simbad
HIP13288 	HD17824 	* tau02 Eri  	5127513656557144576	042.7597	-21.0040	 1.391	 	 	 	 16.79	G	 0.013	  39.670	  39.626	4980	  43.936	  8.907	 2.080	 2.457	 2.89	-0.02	      	      	     	      	      	Simbad
HIP13328 	HD17709 	*  17 Per    	 140457735662620800	042.8785	+35.0597	 4.056	 	 	 	  7.78	G	 0.049	 113.366	 114.076	3799	 589.080	 56.052	 0.867	 1.100	 0.93	-0.36	      	      	     	      	      	Simbad
HIP14060 	HD18784 	* rho01 Eri  	5179627995156977408	045.2918	-07.6630	 1.036	 	 	 	 10.42	G	 0.024	  16.680	  16.741	4652	  48.193	 10.690	 0.929	 0.760	 2.30	 0.00	      	      	     	      	      	Simbad
HIP14086 	HD18907 	* eps For    	5071514326764428544	045.4068	-28.0915	 0.788	1	1	1	 31.31	G	 0.009	  14.471	  14.467	5143	   4.613	  2.706	 0.884	 0.920	 3.53	-0.63	      	      	     	      	      	Simbad
HIP14135 	HD18884 	* alf Cet    	                   	045.5699	+04.0897	12.200	 	1	1	 13.09	H	 0.024	 960.197	 967.227	3738	1764.364	100.206	 1.465	 1.933	 0.66	-0.24	      	      	     	      	      	Simbad
HIP14632 	HD19373 	* iot Per    	 436648129327098496	047.2667	+49.6133	 1.246	 	 	 	 94.54	G	 0.000	  64.057	  63.548	5921	   2.222	  1.417	 1.082	 1.103	 4.17	 0.09	      	      	     	      	      	Simbad
HIP14838 	HD19787 	* del Ari    	  60248877811546112	047.9074	+19.7267	 1.870	 	 	 	 19.77	G	 0.019	  56.948	  56.952	4703	  45.544	 10.170	 0.897	 0.849	 2.36	 0.11	      	      	     	      	      	Simbad
HIP14954 	HD19994 	*  94 Cet    	3265335443260522112	048.1935	-01.1961	 0.761	 	 	 	 43.70	G	 0.010	  23.673	  23.560	5912	   3.856	  1.872	 1.260	 1.277	 4.00	 0.20	      	      	     	      	      	Simbad
HIP15457 	HD20630 	* kap01 Cet  	3269362645115584640	049.8404	+03.3702	 0.936	 	 	 	107.80	G	 0.000	  32.877	  32.684	5786	   0.879	  0.934	 0.999	 1.021	 4.50	 0.04	      	      	     	      	      	Simbad
HIP15776 	HD21019 	             	5168359139139252352	050.8238	-07.7941	 0.606	 	 	 	 26.82	G	 0.013	   9.342	   9.353	5259	   4.064	  2.429	 1.022	 1.327	 3.73	-0.45	      	      	     	      	      	Simbad
HIP16537 	HD22049 	* eps Eri    	5164707970261890560	053.2327	-09.4583	 2.144	 	1	1	310.58	G	 0.000	 101.158	 100.473	5062	   0.326	  0.742	 0.776	 0.819	 4.60	-0.08	      	      	     	      	      	Simbad
HIP16852 	HD22484 	*  10 Tau    	3263836568394170880	054.2173	+00.3996	 1.081	 	 	 	 71.84	G	 0.008	  50.533	  50.419	6000	   3.054	  1.618	 1.094	 1.115	 4.06	-0.08	      	      	     	      	      	Simbad
HIP1686  	HD1671  	* rho And    	 378821548641870336	005.2803	+37.9686	 0.600	 	 	 	 19.95	G	 0.024	  23.799	  23.776	6674	  18.672	  3.234	 1.812	 1.922	 3.69	-0.09	      	      	     	      	      	Simbad
HIP17086 	HD22798 	             	3250477261599098752	054.9098	-03.3930	 0.792	 	 	 	  7.81	G	 0.042	   9.701	   9.778	4652	  50.104	 10.903	 1.236	 0.966	 2.40	 0.24	      	      	     	      	      	Simbad
HIP171   	HD224930	*  85 Peg    	2853900872207888768	000.5431	+27.0818	 0.716	 	 	 	 81.18	G	 0.000	  15.143	  15.005	5445	   0.712	  0.948	 0.774	 0.827	 4.39	-0.79	      	      	     	      	      	Simbad
HIP17147 	HD22879 	             	3250489115709122560	055.0919	-03.2170	 0.382	1	1	1	 38.36	G	 0.011	   6.136	   6.139	5962	   1.304	  1.071	 0.789	 0.810	 4.28	-0.84	      	      	     	      	      	Simbad
HIP17378 	HD23249 	* del Eri    	5164120762333028736	055.8121	-09.7634	 2.411	 	1	1	110.03	G	 0.000	 117.112	 116.588	4954	   3.010	  2.356	 1.055	 1.480	 3.79	 0.09	 43.80	 700.0	 3.75	 1.970	 1.261	Simbad
HIP17595 	HD23526 	             	3276860524145383040	056.5390	+06.8035	 0.915	 	 	 	  8.73	G	 0.046	  14.323	  14.341	4763	  58.816	 11.269	 1.028	 0.974	 2.33	-0.15	      	      	     	      	      	Simbad
HIP17738 	HD23940 	* rho For    	4887842970929434880	056.9835	-30.1679	 1.093	 	 	 	 11.53	G	 0.015	  21.399	  21.385	4815	  50.280	 10.192	 1.336	 0.790	 2.43	-0.34	      	      	     	      	      	Simbad
HIP18859 	HD25457 	             	3256786534197166208	060.6531	-00.2689	 0.582	 	 	 	 53.46	G	 0.010	  17.676	  17.712	6295	   1.937	  1.170	 1.209	 1.218	 4.39	 0.10	      	      	     	      	      	Simbad
HIP19849 	        	* omi02 Eri  	3195919528989223040	063.8180	-07.6529	 1.504	 	 	 	199.61	G	 0.000	  54.498	  54.259	5181	   0.426	  0.810	 0.769	 0.769	 4.51	-0.29	      	      	     	      	      	Simbad
HIP2021  	HD2151  	* bet Hyi    	4683897617110115200	006.4378	-77.2542	 2.257	 	1	1	133.72	G	 0.000	 209.473	 207.852	5917	   3.633	  1.815	 1.111	 1.151	 3.97	-0.12	 57.60	1000.0	 3.94	 1.766	 1.086	Simbad
HIP21421 	HD29139 	* alf Tau    	                   	068.9802	+16.5093	20.580	 	1	1	 48.94	H	 0.010	3290.840	3333.080	3921	 434.967	 45.212	 0.955	 1.270	 1.17	-0.20	      	      	     	      	      	Simbad
HIP22449 	HD30652 	* pi.03 Ori  	3288921720025503360	072.4600	+06.9613	 1.526	 	 	 	124.62	G	 0.000	 141.072	 139.928	6518	   2.816	  1.317	 1.280	 1.288	 4.31	 0.03	      	      	     	      	      	Simbad
HIP22453 	HD30504 	*   1 Aur    	 198558953732674816	072.4777	+37.4883	 2.803	 	 	 	  7.13	G	 0.081	  72.529	  73.691	4097	 453.079	 42.268	 1.043	 1.783	 1.32	-0.34	      	      	     	      	      	Simbad
HIP22479 	HD30814 	*  60 Eri    	2981103853463479040	072.5484	-16.2172	 1.310	 	 	 	 13.64	G	 0.017	  32.973	  32.973	4901	  55.395	 10.326	 1.741	 2.450	 2.73	-0.02	      	      	     	      	      	Simbad
HIP2413  	HD2665  	             	 421805237748755968	007.6894	+57.0649	 0.395	 	 	 	  3.75	G	 0.156	   3.164	   3.121	4951	  69.377	 11.325	 0.787	 1.202	 2.32	-1.97	      	      	     	      	      	Simbad
HIP24813 	HD34411 	* lam Aur    	 188771135583573504	079.7853	+40.0991	 0.981	 	 	 	 79.60	G	 0.007	  36.921	  36.836	5823	   1.817	  1.325	 1.016	 1.037	 4.20	 0.06	      	      	     	      	      	Simbad
HIP25993 	HD36848 	             	4808960875719316608	083.2142	-38.5134	 1.386	 	 	 	 18.78	G	 0.012	  27.174	  27.091	4537	  24.009	  7.935	 1.108	 1.260	 2.71	 0.19	      	      	     	      	      	Simbad
HIP26019 	HD36874 	             	4822128906148720128	083.2808	-35.1394	 1.118	 	 	 	 11.21	G	 0.017	  18.883	  18.890	4616	  46.984	 10.723	 0.886	 1.762	 2.47	 0.00	      	      	     	      	      	Simbad
HIP27435 	HD38858 	             	3023711269067191296	087.1456	-04.0946	 0.572	 	 	 	 65.74	G	 0.008	  11.557	  11.542	5705	   0.835	  0.935	 0.855	 0.878	 4.43	-0.22	      	      	     	      	      	Simbad
HIP27530 	HD39523 	* gam Pic    	4767368897757788288	087.4569	-56.1667	 1.939	 	 	 	 17.58	G	 0.017	  55.239	  55.236	4583	  55.863	 11.859	 0.934	 1.456	 2.36	 0.15	  4.32	  38.2	 2.47	10.556	 1.705	Simbad
HIP27621 	HD39640 	             	4792305954618472960	087.7218	-52.1089	 1.251	 	 	 	 12.17	G	 0.020	  28.900	  28.862	4851	  60.910	 11.052	 1.374	 2.260	 2.60	-0.11	  5.21	  50.8	 2.61	 9.938	 2.008	Simbad
HIP27913 	HD39587 	* chi01 Ori  	3399063235755057792	088.5958	+20.2762	 1.051	 	 	 	114.95	G	 0.000	  44.404	  44.053	5883	   1.042	  0.983	 1.012	 1.045	 4.47	-0.03	      	      	     	      	      	Simbad
HIP28011 	HD39910 	             	3022721124487294848	088.8757	-04.6165	 1.090	 	 	 	 10.47	G	 0.024	  17.097	  17.176	4565	  48.975	 11.193	 1.003	 2.125	 2.50	 0.26	      	      	     	      	      	Simbad
HIP28139 	HD40020 	             	3342942066329410688	089.2060	+11.5211	 1.012	 	 	 	  9.61	G	 0.029	  16.130	  16.228	4671	  54.923	 11.322	 1.272	 2.387	 2.57	 0.13	      	      	     	      	      	Simbad
HIP29575 	HD43023 	             	3021524580959406592	093.4760	-03.7414	 0.842	 	 	 	  9.83	G	 0.025	  15.254	  15.269	5043	  49.389	  9.209	 2.197	 3.602	 2.96	 0.00	      	      	     	      	      	Simbad
HIP3031  	HD3546  	* eps And    	2858181236614036864	009.6389	+29.3118	 1.770	 	 	 	 19.25	G	 0.021	  60.709	  60.557	4909	  51.079	  9.886	 1.215	 0.781	 2.44	-0.62	      	      	     	      	      	Simbad
HIP30565 	HD46116 	* pi.02 Dor  	5278762854038923008	096.3693	-69.6903	 1.145	 	 	 	 11.76	G	 0.035	  24.614	  24.750	4880	  55.937	 10.468	 0.961	 1.916	 2.53	-0.32	  4.07	  31.7	 2.40	10.196	 1.041	Simbad
HIP3093  	HD3651  	*  54 Psc    	2802397960855105920	009.8409	+21.2505	 0.722	 	 	 	 90.02	G	 0.000	  13.759	  13.666	5297	   0.527	  0.862	 0.864	 0.936	 4.52	 0.14	      	      	     	      	      	Simbad
HIP3137  	HD3750  	             	4979682840735231616	009.9665	-44.7963	 1.003	 	 	 	 10.36	G	 0.014	  15.143	  15.124	4610	  44.043	 10.409	 1.271	 0.761	 2.40	 0.03	      	      	     	      	      	Simbad
HIP32362 	HD48737 	* ksi Gem    	3352485999058854912	101.3224	+12.8956	 1.401	 	 	 	 54.19	G	 0.009	 119.752	 119.369	6537	  12.706	  2.780	 1.752	 1.687	 3.79	 0.14	      	      	     	      	      	Simbad
HIP32851 	HD49933A	             	3113219383954556416	102.7076	-00.5409	 0.445	 	1	1	 33.53	G	 0.012	  12.748	  12.725	6628	   3.538	  1.427	 1.160	 1.128	 4.19	-0.39	 86.10	1657.0	 4.19	 1.386	 1.180	Simbad
HIP3456  	HD4211  	* lam02 Scl  	5000702410680381824	011.0504	-38.4217	 1.100	 	 	 	  9.85	G	 0.016	  17.573	  17.608	4572	  56.724	 12.007	 0.922	 1.459	 2.34	 0.01	      	      	     	      	      	Simbad
